"category","changed","text","text_wrong","text_EN","注記"
"アイテム","No","タマスケン鋼のパイク","タマスケン鋼のパイク","Thamaskene Pike",
"アイテム","Yes","タマスケン鋼の両手剣","タマスケン銅のツーハンダー","Thamaskene Steel Two Hander",
"アイテム","Yes","タマスケン鋼の尖った長槍","タマスケンの切っ先の長槍","Long Thamaskene Tipped Spear",
"アイテム","No","タマスケン鋼の戦剣","タマスケン鋼の戦剣","Thamaskene Steel Warsword",
"アイテム","No","タータンのドレス","タータンのドレス","Tartan Dress",
"アイテム","No","タータンのロングドレス","タータンのロングドレス","Tartan Long Dress",
"アイテム","Yes","タータンの外套","タータンのマント","Tartan Cloak",
"アイテム","Yes","タータンの肩掛けハーネス","タータンの肩掛けの引き具","Tartan Shoulder Harness",
"アイテム","Yes","ターバン付きの開いた兜 ","顔の見えるターバンの兜 ","Helmet with Open Turban ",
"アイテム","Yes","ターバン付きの開いた尖った兜","顔の見えるターバンのトゲの兜","Spiked Helmet with Open Turban",
"アイテム","Yes","ターバン付きの顔を覆う尖った兜 ","顔を覆うターバンのトゲの兜 ","Spiked Helmet with Closed Turban ",
"アイテム","Yes","ダルシー馬","ダルシーの馬","Darshi Horse",
"アイテム","No","チャージャー","チャージャー","Charger",
"アイテム","No","ティアル馬","ティアル馬","Tyal Horse",
"アイテム","No","デストリエ","デストリエ","Destrier",
"アイテム","Yes","デーツ","ナツメヤシ","Date Fruit",
"アイテム","Yes","ドルジーニクの馬上槍","ドルジーナのランス","Druzhinnik Lance",
"アイテム","No","ドレス","ドレス","Dress",
"アイテム","Yes","ナハサラクダ","ナハサのラクダ","Nahasa Camel",
"アイテム","Yes","ナハサ馬","ナハサウィ","Nahasawi",
"アイテム","Yes","ノルドの手斧","北欧の手斧","Norse Hatchet",
"アイテム","Yes","ハンのコートオブプレート","ハンの板金入りコート","Khan's Coat of Plates",
"アイテム","Yes","ハンの板金付きの籠手","ハンの板金入り籠手","Khan's Plated Bracers",
"アイテム","No","バックソード","バックソード","Backsword",
"アイテム","Yes","バックル付きの鎖鎧","バックル付きのメイルアーマー","Buckled Mail Armor",
"アイテム","Yes","バッタニアの山刀","バッタニアのマウンテンブレード","Battanian Mountain Blade",
"アイテム","Yes","バッタニアの馬具","バッタニアの引き具","Battania Horse Harness",
"アイテム","Yes","パルマティア馬","パルマティアン","Palmatian",
"アイテム","No","ヒジャブ","ヒジャブ","Hijab",
"アイテム","Yes","ピュアブラッド","サラブレッド","Pureblood",
"アイテム","Yes","ピールム","ピルム","Pilum",
"アイテム","Yes","ファランクスの隊旗","ファンクスの記章旗","Phalanx Standard",
"アイテム","No","ファルクスナイフ","ファルクスナイフ","Falx Knife",
"アイテム","Yes","ファルクムの隊旗","ファルカムの記章旗","Fulcum Standard",
"アイテム","No","ファルシオン","ファルシオン","Falchion",
"アイテム","Yes","ファーリスの鷹の軍団旗","ファリスの鷹の旗","Banner of Faris' Falcon",
"アイテム","Yes","フィアンナの腕当て","フィアンの籠手","Fian Bracers",
"アイテム","No","フェズ付きのヘッドスカーフ","フェズ付きのヘッドスカーフ","Headscarf with Fez",
"アイテム","Yes","フスカールのホーバーク","ハスカールのホーバーク","Huscarl Hauberk",
"アイテム","Yes","フスカールの板金付きブーツ","ハスカールの板金入りブーツ","Huscarl Plated Boots",
"アイテム","Yes","フスンフリー","フスヌフリのラクダ","Husnphree",
"アイテム","No","フリル付きのドレス","フリル付きのドレス","Frilled Dress",
"アイテム","No","ブドウ","ブドウ","Grapes",
"アイテム","No","ヘッドスカーフ","ヘッドスカーフ","Head Scarf",
"アイテム","Yes","ベドウィンの布の鞍","ベドウィンの布製の鞍","Bedouin Cloth Saddle",
"アイテム","Yes","ベドウィンの平凡な鞍","ベドウィンの一般的な鞍","Bedouin Common Saddle",
"アイテム","Yes","ベドウィンの無骨な鞍","ぼろぼろのベドウィンの鞍","Rugged Bedouin Saddle",
"アイテム","Yes","ベルト付きの革垂れ","ベルト付きの革ひも","Bolted Leather Strips",
"アイテム","No","ベルト付きチュニック","ベルト付きチュニック","Belted Tunic",
"アイテム","Yes","ベルト付き革ブーツ","ベルト付き革製ブーツ","Belted Leather Boots",
"アイテム","Yes","ペルナーチ","ペルナッハ","Pernach",
"アイテム","Yes","ボドキン矢の大束","ボドキンの矢の束","Stacked Bodkin Arrows",
"アイテム","Yes","ボドキン矢の束","ボドキンの矢","Bodkin Arrows",
"アイテム","Yes","ボドキン矢の軽い束","軽いボドキンの矢","Light Bodkin Arrows",
"アイテム","Yes","ポーチ付きの切り込みの入ったドレス","ポーチ付きの切れたドレス","Cut Dress with Pouch",
"アイテム","Yes","マムルークの鎖付き兜","鎖帷子付きのマムルーク兜","Mamluke Helmet with Mail",
"アイテム","Yes","マムルークの馬上槍","マムルークのランス","Mamluke Lance",
"アイテム","No","モカシン","モカシン","Moccasins",
"アイテム","No","モーニングスター","モーニングスター","Morningstar",
"アイテム","No","ラウンシー","ラウンシー","Rouncey",
"アイテム","No","ラクダ","ラクダ","Camel",
"アイテム","No","ラバ","ラバ","Mule",
"アイテム","Yes","ラバの背嚢付きの手綱","背嚢付きのラバ用引き具","Mule Harness with Pack",
"アイテム","Yes","レギオンのケープ","軍団兵のケープ","Legionary Cape",
"アイテム","Yes","レギオンの中綿付きのプテルゲス","軍団兵の中綿入りのストラップ","Legionary Padded Straps",
"アイテム","Yes","レギオンの布入りの鉄兜","布下地の軍団兵の鉄製兜","Iron Legionary Helm over Cloth",
"アイテム","Yes","レギオンの補強された鋲付きハーネス","軍団兵の補強された飾りびょう付き引き具","Legionary Reinforced Studded Harness",
"アイテム","Yes","レギオンの鋲付きハーネス","軍団兵の飾りびょう付き引き具","Legionary Studded Harness",
"アイテム","No","レースのドレス","レースのドレス","Laced Dress",
"アイテム","Yes","ロンファイア","ロンパイア","Rhomphaia",
"アイテム","Yes","ワダルの汗血馬","ワダールの激情","Wadar Hotblood",
"アイテム","Yes","万騎の旗印","膨大な群れの引き具","Tug of the Boundless Horde","日本語でおk"
"アイテム","No","丈夫な革のブーツ","丈夫な革のブーツ","Sturdy Leather Boots",
"アイテム","Yes","三日月鍔付きの騎士剣","三日月型ガード付きの騎士の剣","Crescent Guarded Arming Sword",
"アイテム","Yes","三角穂先の投げ槍","三叉の投げ槍","Triangular Throwing Spear",
"アイテム","Yes","三角穂先の槍","三叉槍","Triangular Headed Spear",
"アイテム","No","上流階級の革のブーツ","上流階級の革のブーツ","Highborn Leather Boots",
"アイテム","Yes","両手用の大包丁","両手用包丁 ","Two-Handed Cleaver ",
"アイテム","Yes","中綿仕込みの鉄の鼻当て兜","中綿の鉄製ネイザルヘルム","Iron Nasalhelm over Padding",
"アイテム","Yes","中綿入りの丸いケトルハット","中綿ラウンドケトル","Roundkettle over Padding",
"アイテム","Yes","中綿入りの尖ったケトルハット","綿入りトゲ付きケトル","Spiked Kettle over Padding",
"アイテム","Yes","中綿入りの頭巾","中綿入りのコイフ","Padded Coif",
"アイテム","Yes","丸いケトルヘルム","ラウンドケトルヘルム","Roundkettle Helmet",
"アイテム","Yes","丸い板金付きの毛皮のクローク","丸形プレート付き毛皮マント","Fur Cloak With Round Plate",
"アイテム","Yes","乗用馬","鞍付きの馬","Saddle Horse",
"アイテム","Yes","乗馬兵のジャベリン","馬術師のジャベリン","Horseman Javelin",
"アイテム","Yes","乗馬兵のブーツ","馬術師のブーツ","Horseman Boots",
"アイテム","Yes","乗馬兵の旗","馬術師の旗","Banner of the Horseman",
"アイテム","Yes","亀甲の隊旗","亀甲の記章旗","Testudo Standard",
"アイテム","Yes","伐木斧","木製の伐木斧","Wood Splitter Axe",
"アイテム","No","低地のジャベリン","低地のジャベリン","Lowland Javelin",
"アイテム","Yes","低地の投擲ナイフ","低地の投げナイフ","Lowland Throwing Knife",
"アイテム","Yes","低地の矢束","低地の矢","Lowland Arrows",
"アイテム","Yes","側面保護付きの板金兜","サイドガード付きの板金兜","Plated Helmet with Sideguards",
"アイテム","Yes","先細な剣","先細な剣の刃","Tapered Blade",
"アイテム","Yes","先細の両手剣","先細のツーハンダー","Tapered Two-Hander",
"アイテム","Yes","円環の肩当て","リングメイルの肩ガード","Ringmail Shoulder Guard",
"アイテム","Yes","円環柄頭付きのスパタの刃","リング型つか頭のスパタ刃","Spatha Blade with Ring Pommel",
"アイテム","Yes","円環馬鎧","リングメイルの馬鎧","Ring Mail Barding",
"アイテム","No","処刑人の斧","処刑人の斧","Executioner Axe",
"アイテム","Yes","処刑人の重い斧","処刑人の重斧","Heavy Executioner Axe",
"アイテム","Yes","処刑斧","処刑用の斧","Execution Axe",
"アイテム","Yes","切り欠きのあるヒーターシールド","切り抜きヒーターシールド","Heater Shield with Cutout",
"アイテム","Yes","勇気の隊旗","勇気の記章旗","Standard of Courage",
"アイテム","Yes","北方の円盾","北部の円形盾","Norse Round Shield",
"アイテム","Yes","北方人の広刃斧","北方人のブロードアックス","Northlander Broad Axe",
"アイテム","Yes","北方人の樋入り広刃大剣","北方人の溝入り幅広グレートソード","Northlander Wide Fullered Greatsword",
"アイテム","Yes","北方人の装飾のある両手斧","北方人の装飾された両手斧","Northlander Decorated Two Handed Axe",
"アイテム","Yes","北方武将の密閉兜","北部の軍長の甲冑兜","Northern Closed Warlord Helmet",
"アイテム","Yes","半前掛け","半エプロン","Half Apron",
"アイテム","Yes","南方のターバン付きの真鍮密閉兜","南部のターバン付き真鍮クロース兜","Brass Southern Closed Helmet with Turban",
"アイテム","Yes","南方のターバン付き真鍮兜","南部のターバン付き真鍮兜","Brass Southern Helmet with Turban",
"アイテム","Yes","南方の名匠の鱗付き鎖鎧","名工による南部のスケイル付きチェインメイル","Mastercrafted Southern Scale over Chain Mail",
"アイテム","Yes","南方の名匠の鱗鎧を重ねたホーバーク","名工による南部のスケイル付きホーバーク","Mastercrafted Southern Scale over Chain Hauberk",
"アイテム","Yes","南方の真鍮の密閉兜","南部の真鍮クロース兜","Brass Southern Closed Helmet",
"アイテム","Yes","南方の真鍮兜","南部の真鍮兜","Brass Southern Helmet",
"アイテム","Yes","南方の真鍮板金付きの袖なし鎖シャツ","南部の真鍮プレート付き袖なし鎖帷子シャツ","Southern Sleeveless Mail Shirt with Brass Plates",
"アイテム","Yes","南方の真鍮板金付きの鎖シャツ","南部の真鍮プレート付き鎖帷子シャツ","Southern Mail Shirt with Brass Plates",
"アイテム","Yes","南方の装飾のある鎖鎧","南部の装飾されたチェインメイル","Southern Decorated Chain Mail",
"アイテム","Yes","南方の補強された短い鎖鎧","南部の強化したショート鎖帷子","Southern Reinforced Short Mail Armor",
"アイテム","Yes","南方の補強された袖なし鎖鎧","南部の補強した袖なし鎖帷子","Southern Reinforced Sleeveless Mail Armor",
"アイテム","Yes","南方の補強された鎖胴鎧","強化した南部の鎖帷子のベスト","Southern Reinforced Mail Vest",
"アイテム","Yes","南方の補強された鎖鎧","南部の補強した鎖帷子のベスト","Southern Reinforced Mail Armor",
"アイテム","Yes","南方の鎖鎧","南部のチェインメイル","Southern Chain Mail",
"アイテム","Yes","南方の革耳あて付き真鍮兜","南部の革製耳あて付き真鍮兜","Brass Southern Helmet with Leather Flaps",
"アイテム","Yes","南方領主の兜","南部の貴族の兜","Noble Crowned Lord Helmet",
"アイテム","Yes","厚手のスカーフ","厚めのスカーフ","Thick Scarf",
"アイテム","No","厚手の毛皮のフード","厚手の毛皮のフード","Thick Fur Hood",
"アイテム","No","古い毛皮のコート","古い毛皮のコート","Old Fur Coat",
"アイテム","No","古い毛皮の鎧","古い毛皮の鎧","Old Fur Armor",
"アイテム","No","商人の毛皮のコート","商人の毛皮のコート","Merchant Fur Coat",
"アイテム","Yes","喉当て付きの青銅肩甲","首ガード付きの銅製の肩甲","Bronze Pauldrons with Neck Guard",
"アイテム","Yes","堅固な盾の軍団旗","盾旗を閉じる","Close Shields Banner","公式訳は名称とは思えない"
"アイテム","Yes","壮麗なアダルガ","装飾されたアダルガ","Ornate Adarga",
"アイテム","Yes","壮麗なケープ付き肩甲","豪華なケープ付き肩甲","Ornate Pauldrons with Cape",
"アイテム","Yes","壮麗な肩甲","豪華な肩甲","Ornate Pauldrons",
"アイテム","Yes","壮麗な補強された肩甲","補強した豪華な肩甲","Reinforced Ornate Pauldrons",
"アイテム","Yes","壮麗な補強された鱗付き肩甲","強化した豪華なスケイル付き肩甲","Reinforced Ornate Pauldrons over Scale",
"アイテム","Yes","壮麗な鋼の帽子","鋼の帽子","Ornate Steel Cap",
"アイテム","Yes","壮麗な鱗鎧","華美なスケイルアーマー","Ornate Scale Armor",
"アイテム","Yes","大きな丸い板金付きの毛皮のクローク","丸形プレート付き大型毛皮マント","Large Fur Cloak With Round Plate",
"アイテム","No","大型アダルガ","大型アダルガ","Large Adarga",
"アイテム","Yes","大型フランキスカ","大きなフランシスカ","Large Franziska Axe",
"アイテム","Yes","太い樋のある両手剣","幅広の溝入りツーハンダー","Wide Fullered Broad Two Hander",
"アイテム","Yes","太い樋のある騎士剣","溝入り刀身の騎士の剣","Wide Fullered Broad Arming Sword",
"アイテム","Yes","女性のカフタン","女性用のカフタン","Feminine Kaftan",
"アイテム","Yes","女性のヘッドラップ","女性用ヘッドラップ","Female Headwrap",
"アイテム","Yes","威厳ある鋼カスク","君主の鋼の帽子","Lordly Steel Cap",
"アイテム","Yes","威厳のある中綿入りのミトン","威厳のある中綿入りの手袋","Lordly Padded Mittens",
"アイテム","Yes","婦人の靴","婦人用の靴","Ladies Shoes",
"アイテム","Yes","学士のローブ","学者のローブ","Scholar Robe",
"アイテム","No","宝石付きの王冠","宝石付きの王冠","Jeweled Crown",
"アイテム","Yes","密閉された鎖の目出し兜","甲冑鎧のゴーグル付き兜","Closed Mail Goggled Helmet",
"アイテム","Yes","寸隙なき盾の軍団旗","固定された盾の旗","Locked Shields Banner",
"アイテム","Yes","射手の軍団旗","射手の旗","Marksman's Flag",
"アイテム","Yes","小さな小刃斧","小さなビットアクス","Small Bit Axe",
"アイテム","Yes","小型の平坦なヒーターシールド","平らな小型ヒーターシールド","Small Flat Heater Shield",
"アイテム","Yes","小型の長方形の斧","長方形の両刃斧","Rectangular Bitted Axe",
"アイテム","Yes","尖ったファルシオン","尖頭ファルシオン","Pointed Falchion",
"アイテム","No","尖った戦剣","尖った戦剣","Pointy Warsword",
"アイテム","Yes","尖った戦斧","トゲ付き戦斧","Spiked Battle Axe",
"アイテム","No","巡礼者のフード","巡礼者のフード","Pilgrim Hood",
"アイテム","Yes","巻き布付きのセルヴェリエ","ヘッドラップとサーブレア","Cervelliere over Cloth Headwrap",
"アイテム","Yes","市民兵のペルナーチ","民兵のペルナッハ","Militia Pernach",
"アイテム","Yes","市民兵のメイス","民兵のメイス","Militia Mace",
"アイテム","No","布エプロン","布エプロン","Cloth Apron",
"アイテム","No","布巻きのブーツ","布巻きのブーツ","Wrapped Boots",
"アイテム","No","布巻き帽子","布巻き帽子","Wrapped Cap",
"アイテム","No","帝国の宝石付き兜","帝国の宝石付き兜","Imperial Jeweled Helmet",
"アイテム","Yes","帝国の宝石付き頭環","帝国の宝石付きバンド","Imperial Jeweled Band",
"アイテム","Yes","帝国の矢束","帝国の矢","Imperial Arrows",
"アイテム","Yes","幅広の両手剣","ブロードツーハンダー","Broad Two Hander",
"アイテム","Yes","幅広剣","ブロードソード","Broadsword",
"アイテム","Yes","平坦なヒーターシールド","平らなヒーターシールド","Flat Heater Shield",
"アイテム","No","平民のチュニック","平民のチュニック","Commoner Tunic",
"アイテム","No","平民の斧","平民の斧","Commoner Axe",
"アイテム","Yes","平民の服","平民の衣服","Commoner Clothes",
"アイテム","Yes","広刃のイルド","幅広なイルド","Broad Ild",
"アイテム","Yes","広刃のカスカラ","幅広のカスカラ","Broad Kaskara",
"アイテム","Yes","広刃のジクリオン","ブロードツクリオン","Broad Tzikourion",
"アイテム","Yes","広刃のジャベリン","幅広の刃のジャベリン","Broad Blade Javelin",
"アイテム","Yes","広刃のファルシオン","ブロードファルシオン","Broad Falchion",
"アイテム","Yes","広刃の投擲ナイフ","幅広の刃の投げナイフ","Broad Bladed Throwing Knives",
"アイテム","Yes","広刃の葉型槍","幅広のリーフスピア","Wide Leaf Spear",
"アイテム","Yes","広刃の葉型槍","幅広の葉型の槍","Broad Leaf Shaped Spear",
"アイテム","Yes","広刃の騎士剣","幅広な騎士の剣","Broad Arming Sword",
"アイテム","Yes","延長された長柄刀","ロンググレイヴ","Long Glaive",
"アイテム","No","弓使いの旗","弓使いの旗","Bowman's Flag",
"アイテム","No","弓兵の旗","弓兵の旗","Archer's Flag",
"アイテム","No","強化されたカイトシールド","強化されたカイトシールド","Fortified Kite Shield",
"アイテム","Yes","当て板付き腕甲","スプリント腕甲","Splint Vambraces",
"アイテム","Yes","彫刻入りのバックソード","彫刻されたバックソード","Engraved Backsword",
"アイテム","Yes","彫刻入りの角ばったカスカラ","彫刻された角のあるカスカラ","Engraved Angular Kaskara",
"アイテム","Yes","従士の軍団旗","大地主の旗","Banner of the Squire",
"アイテム","Yes","怒りの隊旗","憤怒の記章旗","Standard of Wrath",
"アイテム","Yes","憤怒の隊旗","猛威の記章旗","Standard of Fury",
"アイテム","No","戦冠","戦冠","Battle Crown",
"アイテム","Yes","戦斧","バトルアックス","Battle Axe",
"アイテム","Yes","戴冠の兜","クラウンヘルム","Crowned Helmet",
"アイテム","Yes","戴冠の板金兜","クラウンプレートヘルム","Crowned Plate Helmet",
"アイテム","Yes","房付きのくびれた穂先の槍","フリル付きこぶ型頭の槍","Knob Headed Spear with Frills",
"アイテム","No","折り返し付きの革のブーツ","折り返し付きの革のブーツ","Folded Leather Boots",
"アイテム","Yes","擦り切れたぼろ着","ボロボロのラグ","Tattered Rags",
"アイテム","Yes","放浪者の旗","ストライダーの旗","Strider's Flag",
"アイテム","Yes","放浪馬の旗印","放浪馬の引き綱","Tug of the Roaming Horse",
"アイテム","Yes","斥候の旗","偵察兵の旗","Scout's Flag",
"アイテム","Yes","方形の両手ビットアクス","正方形の両手持ちの諸刃斧","Square Bit Two Handed Axe",
"アイテム","Yes","旋風の軍団旗","ダストデビルの旗","Banner of Dust Devils",
"アイテム","Yes","星型ファルシオン","スターファルシオン","Star Falchion",
"アイテム","Yes","木のアダルガ","木製のアダルガ","Wooden Adarga",
"アイテム","Yes","木のカイトシールド","木製のカイトシールド","Wooden Kite Shield",
"アイテム","No","木の剣","木の剣","Wooden Sword",
"アイテム","Yes","木槌","木製のハンマー","Wooden Hammer",
"アイテム","Yes","木矢の旗印","木製矢の引き綱","Tug of Wooden Arrow",
"アイテム","Yes","木製の両手剣","木製のツーハンダー","Wooden Twohander",
"アイテム","No","村人の厚手のドレス","村人の厚手のドレス","Villager Thick Dress",
"アイテム","No","村人の短いドレス","村人の短いドレス","Villager Short Dress",
"アイテム","Yes","東方の装飾のある盾","装飾された東部の盾","Decorated Eastern Shield",
"アイテム","Yes","東方の重いメイス","東部の重メイス","Eastern Heavy Mace",
"アイテム","Yes","東方騎兵の盾","東部の騎兵用の盾","Eastern Cavalry Shield",
"アイテム","No","松明","松明","Torch",
"アイテム","No","板金兜","板金兜","Plated Helmet",
"アイテム","No","枝編みの盾","枝編みの盾","Wicker Shield",
"アイテム","No","柄の短いバルディッシュ","柄の短いバルディッシュ","Short Handled Bardiche",
"アイテム","Yes","柄の長いイルド","背の高いグリップ付きイルド剣","Tall Gripped Ild Sword",
"アイテム","No","染色されたクーフィーヤ","染色されたクーフィーヤ","Colored Keffiyeh",
"アイテム","No","染色されたヒジャブ","染色されたヒジャブ","Colored Hijab",
"アイテム","Yes","格子模様のドレス","チェックのドレス","Plaid Dress",
"アイテム","No","棒","棒","Bo staff",
"アイテム","Yes","棘付きメイス","トゲ付きメイス","Spiked Mace",
"アイテム","Yes","棘付き棍棒","トゲ付きこん棒","Spiked Club",
"アイテム","Yes","森の民のブーツ","森に住む者たちのブーツ","Forester Boots",
"アイテム","No","森林のイチイの弓","森林のイチイの弓","Woodland Yew Bow",
"アイテム","No","森林のケープ","森林のケープ","Woodland Cape",
"アイテム","No","森林のジャベリン","森林のジャベリン","Woodland Javelin",
"アイテム","No","森林のブーツ","森林のブーツ","Woodland Boots",
"アイテム","Yes","森林の住民のドレス","森林の平民のドレス","Woodland Commoner Dress",
"アイテム","No","森林の斧","森林の斧","Woodland Axe",
"アイテム","Yes","森林の毛皮の外套","森林の毛皮クローク","Woodland Fur Cloak",
"アイテム","No","森林の脚巻き","森林の脚巻き","Woodland Leg Wrappings",
"アイテム","Yes","森林兵の弓","レンジャーボウ","Ranger Bow",
"アイテム","Yes","森林警備隊の旗","レンジャーの旗","Ranger's Flag",
"アイテム","Yes","槍構えの軍団旗","槍補強の旗","Spear Bracing Banner",
"アイテム","Yes","槍衾の軍団旗","槍の壁掛け旗","Spear Wall Banner",
"アイテム","Yes","槍騎兵の重い兜","槍兵の重兜","Heavy Lancer Helmet",
"アイテム","Yes","樋入りの騎兵メイス","溝入りの騎兵用メイス","Fullered Cavalry Mace",
"アイテム","Yes","樫盾の軍団旗","オーク盾の旗","Banner of Oaken Shields",
"アイテム","Yes","武将の兜","軍長の兜 ","Warlord Helmet ",
"アイテム","Yes","武将の峰付き兜","うね模様の軍長の兜","Ridged Warlord Helmet",
"アイテム","Yes","武将の板金兜","軍長の板金兜","Plated Warlord Helmet",
"アイテム","Yes","武将の羽付き兜","羽付きの軍長の兜","Warlord Helmet with Feathers",
"アイテム","Yes","武将の重い肩甲","軍長の重肩甲","Heavy Warlord Pauldrons",
"アイテム","Yes","武将の鎖で覆われた兜","軍長の兜と鎧","Warlord Helmet over Full Mail",
"アイテム","Yes","武将の鎖付きの兜","鎖帷子下地の軍長の兜","Warlord Helmet over Mail",
"アイテム","Yes","武将の頬当て付き兜","チークガード付きの軍長の兜","Warlord Helmet with Cheek Guards",
"アイテム","No","歩兵の斧","歩兵の斧","Infantry Axe",
"アイテム","Yes","歩兵の粗野な鎧下","粗末な歩兵の鎧下","Infantryman Rough Gambeson",
"アイテム","No","歩兵の鋼の兜","歩兵の鋼の兜","Infantry Steel Helmet",
"アイテム","No","歩兵の鎧下","歩兵の鎧下","Infantryman Gambeson",
"アイテム","Yes","歩兵の革帯を重ねた鎖鎧","縞模様の革下地の歩兵の鎖帷子","Infantryman Mail over Striped Leather",
"アイテム","No","毛皮のブーツ","毛皮のブーツ","Fur Boots",
"アイテム","No","毛皮の縁と宝石の付いた兜","毛皮の縁と宝石の付いた兜","Jeweled Fur Rimmed Helmet",
"アイテム","No","毛皮の鞍","毛皮の鞍","Fur Saddle",
"アイテム","No","毛皮付きドレス","毛皮付きドレス","Dress with Fur",
"アイテム","Yes","毛皮縁の爪先の反ったブーツ","毛皮の縁が付いた先端の曲がったブーツ","Fur Rimmed Curved Boots",
"アイテム","Yes","毛皮頭巾の鉢兜","毛皮のコイフ付き帽子","Cap with Fur Coif",
"アイテム","No","民兵の短槍","民兵の短槍","Short Militia Spear",
"アイテム","Yes","波刃のジャベリン","ギザギザの投げ槍","Jagged Javelin",
"アイテム","Yes","波刃の投擲槍","ギザギザの投げ槍","Jagged Throwing Spear",
"アイテム","Yes","波刃の槍","ギザギザの槍","Jagged Spear",
